ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos,NaoViolentos_Africa,NaoViolentos_Americas,NaoViolentos_Asia,NaoViolentos_Europa,NaoViolentos,Fim,Inicio,Diff
AUS,0.0625659885642362,0.0695974747452795,0.117662631004242,0.0628072692840969,0.0730299338609644,0.0804364197841245,0.0761895966826816,0.118165979116423,0.0636024717996332,0.0804138693851638,0.0775,0.104,-0.254807692307692
CAN,0.134897154648138,0.316123665375362,0.0874146972903124,0.15385177114072,0.140272814788653,0.0897463350296832,0.17710219703745,0.0910368555319778,0.14908856016969,0.116006055744362,0.1117,0.0854,0.307962529274005
CHE,0.611981068068822,0.114216756002891,0.118847031077043,1.18994621811141,0.203625845571393,0.194402673833626,0.100081283153133,0.116230441669823,0.98720689219586,0.161600508320624,0.1,0.1172,-0.146757679180887
DEU,0.458788632958631,0.1111778637401,0.12868784109968,1.55247703916971,0.204194949827344,0.187168072291696,0.095796694541627,0.126470084025723,1.17128224284182,0.162983653297879,0.1122,0.0883,0.270668176670442
DNK,0.39481447915468,0.11313614484095,0.130243718479903,1.12049076615196,0.200580450406723,0.176553285415103,0.0960621655139459,0.12881366141942,0.913899851274911,0.160440881309951,0.0867,0.1637,-0.470372632864997
ESP,0.581241061525376,0.12468555294243,0.104914737374666,0.52961128309451,0.189032713233509,0.183680099251364,0.110310983109394,0.102697074562009,0.48816220067674,0.15211784032808,0.1256,0.1191,0.0545759865659109
FIN,0.317261365003368,0.107067610586707,0.145778222975417,0.691299501587217,0.192324758685626,0.172636982500541,0.0902100749198957,0.144924507053114,0.657272653697619,0.158107011374282,0.0545,0.1336,-0.592065868263473
FRA,0.502802367524662,0.119939380751857,0.115992085023008,0.95341668424016,0.200034652103091,0.179580406211538,0.103323674152329,0.114164237259744,0.796191655346079,0.158339651881662,0.0834,0.0847,-0.0153482880755608
GBR,0.428689987032149,0.123213142874551,0.11620657669735,0.83350755168778,0.197493614035368,0.16970003707672,0.104435116573971,0.1149978649606,0.703621299117309,0.156340955297058,0.0877,0.1387,-0.367700072098053
IRL,0.363776284923317,0.130166501542126,0.113467436728809,0.612952685923719,0.191607965326215,0.157478193399944,0.108077555175827,0.113024126033395,0.539285730416355,0.152064232675632,0.0799,0.0729,0.0960219478737996
ITA,0.999617788567596,0.107539326806302,0.119900700353615,0.956383034671847,0.203198887671226,0.224119351810696,0.0970812289046257,0.115981108357234,0.914083962964565,0.163407730757475,0.0628,0.0545,0.152293577981651
JPN,0.0943289816982073,0.080605838207986,0.335202795818354,0.109755595656851,0.113954703653755,0.0960384078204256,0.0680950854770069,0.47810623525333,0.110903285290408,0.110478013145071,0.1307,0.0706,0.851274787535411
NLD,0.441669439518734,0.118480644875237,0.120873621398597,1.1135924233703,0.201253485726651,0.175419521827845,0.100947285035415,0.11938551549938,0.890456469248769,0.159324303983384,0.0591,0.1269,-0.534278959810875
NOR,0.332391228439028,0.116166716388764,0.131759828598755,0.757250577985092,0.194865734641649,0.163558328460476,0.0966893885736775,0.131518255271049,0.666383672359633,0.156491047920731,0.0561,0.1506,-0.627490039840637
NZL,0.0551175745276227,0.0823525373950975,0.0957396458886307,0.0552780956467611,0.0680025864140094,0.0693651869178935,0.0905485633316032,0.0974932297827914,0.055801057334031,0.0745737443741993,0.0789,0.1045,-0.244976076555024
PRT,0.473664792249894,0.131876687956201,0.100016075831164,0.425052156590647,0.181446347779948,0.172723388154476,0.116088537231553,0.09817826419347,0.396522160355555,0.147540500777546,0.1051,0.0865,0.215028901734104
SWE,0.337837750607817,0.110834479554549,0.138104678453184,0.806135197131517,0.195466784444069,0.170979723609523,0.0932090597641638,0.137298306630315,0.723674168058152,0.158463123615756,0.0908,0.157,-0.421656050955414
USA,0.127808524740668,0.409157397788932,0.0824187092474971,0.141610046654392,0.135763201584917,0.0866564865967595,0.202961998663404,0.0857016117999194,0.137501984661319,0.112969260820207,0.1418,0.1427,-0.00630693763139442
