ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos,NaoViolentos_Africa,NaoViolentos_Americas,NaoViolentos_Asia,NaoViolentos_Europa,NaoViolentos
AUS,15983.1247447374,14368.3374096533,8498.8750588447,15921.7238927661,13693.0152765004,12432.1793869469,13125.1515107089,8462.67265313948,15722.6593826463,12435.6657333604
CAN,7413.05480169963,3163.31900939023,11439.7238793713,6499.76267796977,7128.96509210773,11142.5162895984,5646.45733778526,10984.5621771145,6707.42274834378,8620.23963821048
CHE,1634.03747628275,8755.28280609446,8414.17737521561,840.374115047926,4910.96794316019,5143.96217027253,9991.87828627173,8603.59803880559,1012.95889231049,6188.09934691509
DEU,2179.6529559837,8994.59628346247,7770.74190890663,644.131909696274,4897.28076451227,5342.79157634069,10438.773537906,7907.00826763588,853.765184362187,6135.58464156118
DNK,2532.8351739811,8838.9082145748,7677.91346616305,892.466078443686,4985.53073329066,5664.01241216695,10409.9256418993,7763.15174167731,1094.21179859585,6232.82539858485
ESP,1720.45656474382,8020.17536435612,9531.54938022529,1888.17729516074,5290.08965112149,5444.24792928445,9065.28046267445,9737.37571654191,2048.49945082536,6573.85088983154
FIN,3151.97534370245,9339.89275113381,6859.73514829191,1446.55102123466,5199.53856609071,5792.50161532954,11085.2363318396,6900.1442222157,1521.43862120887,6324.83019764842
FRA,1988.85300585016,8337.54513097662,8621.27790703689,1048.85934610738,4999.13384749276,5568.5362400954,9678.32404532685,8759.31048113446,1255.97900114305,6315.53744192494
GBR,2332.68802689578,8116.01730683993,8605.36493217949,1199.74917800695,5063.45486098054,5892.75062767316,9575.32325146309,8695.81361656246,1421.21905811336,6396.27663845302
IRL,2748.94225227133,7682.46813237404,8813.10117536215,1631.44729269438,5218.98971317547,6350.08554778325,9252.61492428414,8847.66850313474,1854.30458029726,6576.16838887485
ITA,1000.38235757384,9298.92374908748,8340.23485309736,1045.60616797549,4921.28678193354,4461.90831769252,10300.652466837,8622.09384066151,1093.99140616885,6119.66150783998
JPN,10601.195751263,12406.0492668002,2983.26867339704,9111.15277554033,8775.41661675015,10412.5008181083,14685.3475988023,2091.58535543913,9016.86543713678,9051.57480237161
NLD,2264.13672879349,8440.19713981998,8273.10366339043,897.994615456786,4968.85803686517,5700.61980320177,9906.16042471251,8376.2255062273,1123.01952373219,6276.50631446844
NOR,3008.50297613505,8608.31769276661,7589.56664284437,1320.56683622589,5131.73853699298,6114.02677816954,10342.3965623487,7603.50719327196,1500.63700759511,6390.14188534633
NZL,18143.0334801623,12142.9166803005,10444.9937193548,18090.3482346826,14705.3230286251,14416.4536193593,11043.7975292644,10257.1224917662,17920.8073785035,13409.5452547234
PRT,2111.19765784159,7582.84133077503,9998.3926752744,2352.65245569161,5511.27102989566,5789.60389027132,8614.11491476868,10185.5538821648,2521.92714551771,6777.79995818062
SWE,2960.00076427475,9022.46308205769,7240.88431471199,1240.48671185468,5115.95871822478,5848.64672189882,10728.5708334596,7283.41102336076,1381.83735738878,6310.616484027
USA,7824.2042307355,2444.04721851286,12133.1674462054,7061.64586217927,7365.76618940826,11539.817032432,4927.03070813969,11668.3919823424,7272.6223004206,8851.96550583367
