code,pc,decentralized,union,polity2
AUS,0,0.111111111111111,3.84381077024672,10
CAN,0,1,3.45133672820197,10
CHE,0,0,3.50382659170363,10
DEU,1.12888888888889,0.111111111111111,3.50307398372226,10
DNK,2.74444444444444,0,4.12513425615099,10
ESP,0.704444444444444,0,,-1.64444444444444
FIN,0,0,3.79699209001329,10
FRA,20.68,0.111111111111111,2.9414587020874,7.91111111111111
GBR,0,0.222222222222222,3.72040224075317,10
IRL,0,0.111111111111111,,9.73333333333333
ITA,26.9511111111111,0,3.52079378234016,9.84444444444444
JPN,2.81444444444444,1,,
NLD,3.55777777777778,0,3.50980122884115,10
NOR,0,0,3.96781534618802,10
NZL,0,0,,10
PRT,5.34666666666667,0,,-2.4
SWE,4.79111111111111,0,4.26480833689372,10
USA,0,1,3.18549044926961,10
