code,top_5,top_10,gini,sstran,yr_sch
AUS,18.072,27.7757777777778,,,9.73024145762126
CAN,23.8486666666667,37.0322222222222,,,9.08621803919474
CHE,21.5775925925926,31.0781481481482,,,9.73811848958333
DEU,22.6783333333333,32.0477777777778,,,7.33346562915378
DNK,,29.809,,,6.82284906175402
ESP,,,,,5.39237499237061
FIN,,,,,5.76650725470649
FRA,22.16,33.3395555555556,,,5.40537648730808
GBR,,30.4436666666667,,,7.74243301815457
IRL,,,,,7.99579789903429
ITA,,,,,5.80058346854316
JPN,20.3736111111111,31.0249444444444,,,8.21534358130561
NLD,21.5687037037037,32.0962962962963,,,8.05596748987834
NOR,18.2321111111111,29.529462962963,,,8.43770959642198
NZL,,30.4931666666667,,,10.6782121658325
PRT,,,,,3.49964486228095
SWE,17.1773333333333,27.4233333333333,,,8.62327559789022
USA,21.8973333333333,32.9873333333333,,,10.5434449513753
