1945,Poland,
1945,Austria,
1946,North Korea,South Korea
1946,China,
1946,Greece,
1947,Bulgaria,
1948,Czechoslovakia,Prague
1948,East Germany,Bonn
1948,East Germany,Bonn
1948,China,
1949,China,
1950,South Korea,
1950,China,
1950,North and South Korea,
1953,East Germany,Bonn
1954,Vietinam,
1954,Vietinam,
1955,North and South Korea,South Korea
1956,Poland,
1956,Hungary,
1958,Taiwan,
1959,Cuba,
1960,East Germany,Bonn
1961,East Germany,Bonn
1962,Laos,
1962,Cuba,
1968,Vietinam,
1968,Czechoslovakia,Prague
1969,North Korea,South Korea
1969,Libya,
1970,Cambodia,
1975,Cambodia,
1975,Vietinam,
1975,Laos,
1978,Afghanistan,
1979,Nicaragua,
1979,El Salvador,
1979,Afghanistan,
1981,Poland,
1989,China,
